"score_review","CarimboTripAdvisor","Patrocinado","Breakfast","WiFi_gratuito","Estacionamento_gratuito","Piscina","Restaurante","Servico_quartos","Tomar_medidas_seguranca","Visitar_website_hotel","logavaliacoes","n_bin_true","CarimboTripAdvisor_x_logavaliacoes"
3,0,0,0,1,1,0,0,0,0,0,4.86753445045558,2,0
5,0,0,0,0,0,0,0,0,0,0,1.94591014905531,0,0
3,0,0,0,1,1,0,0,0,0,0,4.47733681447821,2,0
4.5,1,0,1,1,1,0,0,0,1,1,4.04305126783455,6,4.04305126783455
3,0,0,0,0,1,1,0,0,0,0,5.04985600724954,2,0
3,0,0,1,0,0,1,1,0,0,0,4.9416424226093,3,0
2.5,0,0,0,0,0,0,1,1,0,0,0.681130073390408,2,0
4.5,0,0,0,1,1,0,0,0,1,1,7.82084087990734,4,0
4.5,0,0,1,1,1,0,0,0,1,0,5.78382518232974,4,0
5,0,0,1,1,1,0,0,0,1,1,6.70318811324086,5,0
5,0,0,0,1,1,0,0,0,1,1,4.67282883446191,4,0
3.5,0,0,1,1,1,0,0,0,0,0,6.16751649088834,3,0
4.5,0,0,0,0,1,1,0,0,1,0,5.44673737166631,3,0
4,1,0,0,1,1,0,0,0,0,0,6.96979066990159,3,6.96979066990159
4,0,0,0,1,1,0,0,0,0,0,6.50578406012823,2,0
3,0,0,0,1,1,0,0,0,0,0,4.70953020131233,2,0
3.5,0,0,0,1,1,0,0,0,0,0,5.97126183979046,2,0
4.5,1,0,0,1,1,0,0,0,1,1,5.31320597904179,5,5.31320597904179
3.5,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0
3.5,0,0,0,1,1,0,0,0,0,0,4.39444915467244,2,0
